2025-03-06 10:37:05,493 INFO    MainThread:3818677 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_setup.py:_flush():68] Configure stats pid to 3818677
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_setup.py:_flush():68] Loading settings from /home1/alsrn50/.config/wandb/settings
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_setup.py:_flush():68] Loading settings from /gpfs/home1/alsrn50/MLIC_LAB/rl-study/mujoco_lab/sh_folder/wandb/settings
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /gpfs/home1/alsrn50/MLIC_LAB/rl-study/mujoco_lab/sh_folder/wandb/run-20250306_103705-jn0sodnq/logs/debug.log
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /gpfs/home1/alsrn50/MLIC_LAB/rl-study/mujoco_lab/sh_folder/wandb/run-20250306_103705-jn0sodnq/logs/debug-internal.log
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_init.py:init():756] calling init triggers
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'env_name': 'Walker2d-v5', 'model': 'REINFORCE', 'method': 'default', 'batch_size': 32, 'buffer_size': 200000, 'lr': 0.0003, 'gamma': 0.99, 'max_grad_norm': 0.2, 'entropy_coeff': 0.01, 'epsilon_init': 1.0, 'epsilon_min': 0.1, 'epsilon_decay': 0.995, 'n_step': 5000000, 'n_train_start': 2000, 'target_update_freq': 1000, 'gradient_clipping_': False, 'scheduler_': False, 'test_freq': 5000, 'total_episodes': 30000, '_wandb': {}}
2025-03-06 10:37:05,494 INFO    MainThread:3818677 [wandb_init.py:init():789] starting backend
2025-03-06 10:37:05,704 INFO    MainThread:3818677 [wandb_init.py:init():793] sending inform_init request
2025-03-06 10:37:05,708 INFO    MainThread:3818677 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-06 10:37:05,708 INFO    MainThread:3818677 [wandb_init.py:init():808] backend started and connected
2025-03-06 10:37:05,709 INFO    MainThread:3818677 [wandb_init.py:init():901] updated telemetry
2025-03-06 10:37:05,717 INFO    MainThread:3818677 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-03-06 10:37:06,126 INFO    MainThread:3818677 [wandb_init.py:init():994] starting run threads in backend
2025-03-06 10:37:06,346 INFO    MainThread:3818677 [wandb_run.py:_console_start():2385] atexit reg
2025-03-06 10:37:06,347 INFO    MainThread:3818677 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-03-06 10:37:06,347 INFO    MainThread:3818677 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-03-06 10:37:06,347 INFO    MainThread:3818677 [wandb_run.py:_redirect():2325] Redirects installed.
2025-03-06 10:37:06,351 INFO    MainThread:3818677 [wandb_init.py:init():1036] run started, returning control to user process
